"repository","issue_number","issue_url","title","author_login","author_name","summary_line_1","summary_line_2","labels","issue_date","created_at_utc","updated_at_utc","state","comments_count","component","functionality_area","functionality_subarea","language_scope","area_source","area_confidence","parent_issue_number","child_issue_numbers"
"Nimblesite/SharpLsp","9","https://github.com/Nimblesite/SharpLsp/issues/9","Rename: classes, structs, interfaces, records, and delegates","MelbourneDeveloper","MelbourneDeveloper","Add semantic rename for C# and F# type-like declarations.","Update constructors and references across real solutions with invalid-name e2e coverage.",".NET; cluster:rename","2026-04-27","2026-04-27T06:57:52Z","2026-08-03T09:45:12Z","open","0",".NET sidecars (Roslyn/FCS)","Code actions & refactoring","Rename","C#; F#","inferred","high","",""
"Nimblesite/SharpLsp","10","https://github.com/Nimblesite/SharpLsp/issues/10","Rename: enums","MelbourneDeveloper","MelbourneDeveloper","Add semantic rename for C# and F# enum declarations.","Update every type reference across real solutions and cover invalid names end to end.",".NET; cluster:rename","2026-04-27","2026-04-27T06:57:54Z","2026-08-03T09:45:13Z","open","0",".NET sidecars (Roslyn/FCS)","Code actions & refactoring","Rename","C#; F#","inferred","high","",""
"Nimblesite/SharpLsp","11","https://github.com/Nimblesite/SharpLsp/issues/11","Rename: enum members","MelbourneDeveloper","MelbourneDeveloper","Add semantic rename for C# enum members and F# enum cases.","Update declarations and all semantic usages with invalid-name e2e coverage.",".NET; cluster:rename","2026-04-27","2026-04-27T06:57:55Z","2026-08-03T09:45:14Z","open","0",".NET sidecars (Roslyn/FCS)","Code actions & refactoring","Rename","C#; F#","inferred","high","",""
"Nimblesite/SharpLsp","12","https://github.com/Nimblesite/SharpLsp/issues/12","Rename: methods, functions, local functions, and operators","MelbourneDeveloper","MelbourneDeveloper","Add semantic rename for C# methods, functions, and operators plus their F# equivalents.","Update declarations and references with invalid-name e2e coverage.",".NET; cluster:rename","2026-04-27","2026-04-27T06:57:58Z","2026-08-03T09:45:15Z","open","0",".NET sidecars (Roslyn/FCS)","Code actions & refactoring","Rename","C#; F#","inferred","high","",""
"Nimblesite/SharpLsp","13","https://github.com/Nimblesite/SharpLsp/issues/13","Rename: constructors through containing type rename","MelbourneDeveloper","MelbourneDeveloper","Keep constructor declarations and calls correct when their containing type is renamed.","Treat constructors as dependent references rather than independently renameable symbols.",".NET; cluster:rename","2026-04-27","2026-04-27T06:57:59Z","2026-08-03T09:45:16Z","open","0",".NET sidecars (Roslyn/FCS)","Code actions & refactoring","Rename","C#; F#","inferred","high","",""
"Nimblesite/SharpLsp","14","https://github.com/Nimblesite/SharpLsp/issues/14","Rename: properties and indexers","MelbourneDeveloper","MelbourneDeveloper","Add semantic rename for C# and F# properties and indexers.","Update accessors, implementations, overrides, and references across real solutions.",".NET; cluster:rename","2026-04-27","2026-04-27T06:58:01Z","2026-08-03T09:45:17Z","open","0",".NET sidecars (Roslyn/FCS)","Code actions & refactoring","Rename","C#; F#","inferred","high","",""
"Nimblesite/SharpLsp","15","https://github.com/Nimblesite/SharpLsp/issues/15","Rename: fields and events","MelbourneDeveloper","MelbourneDeveloper","Add semantic rename for C# fields, constants, and events plus F# fields, values, and events.","Update declarations and references with invalid-name e2e coverage.",".NET; cluster:rename","2026-04-27","2026-04-27T06:58:03Z","2026-08-03T09:45:18Z","open","0",".NET sidecars (Roslyn/FCS)","Code actions & refactoring","Rename","C#; F#","inferred","high","",""
"Nimblesite/SharpLsp","16","https://github.com/Nimblesite/SharpLsp/issues/16","Rename: local variables and pattern/deconstruction bindings","MelbourneDeveloper","MelbourneDeveloper","Add semantic rename for local and pattern-bound variables in C# and F#.","Cover loops, catches, deconstruction, patterns, and local bindings across their valid scopes.",".NET; cluster:rename","2026-04-27","2026-04-27T06:58:05Z","2026-08-03T09:45:19Z","open","0",".NET sidecars (Roslyn/FCS)","Code actions & refactoring","Rename","C#; F#","inferred","high","",""
"Nimblesite/SharpLsp","17","https://github.com/Nimblesite/SharpLsp/issues/17","Rename: parameters and lambda parameters","MelbourneDeveloper","MelbourneDeveloper","Add semantic rename for parameters in methods, constructors, functions, delegates, and lambdas.","Support both C# and F# parameter forms with invalid-name e2e coverage.",".NET; cluster:rename","2026-04-27","2026-04-27T06:58:07Z","2026-08-03T09:45:20Z","open","0",".NET sidecars (Roslyn/FCS)","Code actions & refactoring","Rename","C#; F#","inferred","high","",""
"Nimblesite/SharpLsp","18","https://github.com/Nimblesite/SharpLsp/issues/18","Rename: namespaces and modules","MelbourneDeveloper","MelbourneDeveloper","Add semantic rename for C# and F# namespaces, modules, and applicable aliases.","Update declarations and semantic references across real solutions.",".NET; cluster:rename","2026-04-27","2026-04-27T06:58:09Z","2026-08-03T09:45:21Z","open","0",".NET sidecars (Roslyn/FCS)","Code actions & refactoring","Rename","C#; F#","inferred","high","",""
"Nimblesite/SharpLsp","19","https://github.com/Nimblesite/SharpLsp/issues/19","Rename: generic type parameters","MelbourneDeveloper","MelbourneDeveloper","Add semantic rename for generic type parameters in C# and F#.","Support both type-level and method-level parameters with invalid-name e2e coverage.",".NET; cluster:rename","2026-04-27","2026-04-27T06:58:11Z","2026-08-03T09:45:22Z","open","0",".NET sidecars (Roslyn/FCS)","Code actions & refactoring","Rename","C#; F#","inferred","high","",""
